site_id,sitename,location,lon,lat,met_filename,met_start_date,met_end_date,cohort_filename,start_date,end_date
1000000698,MANDIFORE-SEUS-99,SEUS,-81.3294321,25.9615366,NARR_ED2_site_1-698,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-698,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000713,MANDIFORE-SEUS-138,SEUS,-81.0052154,26.0990031,NARR_ED2_site_1-713,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-713,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000742,MANDIFORE-SEUS-1006,SEUS,-81.113255,28.9606504,NARR_ED2_site_1-742,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-742,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000756,MANDIFORE-SEUS-1075,SEUS,-95.6160057,30.1647709,NARR_ED2_site_1-756,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-756,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000757,MANDIFORE-SEUS-1076,SEUS,-95.5120465,30.1643577,NARR_ED2_site_1-757,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-757,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000786,MANDIFORE-SEUS-1168,SEUS,-93.3266322,30.2229632,NARR_ED2_site_1-786,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-786,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000799,MANDIFORE-SEUS-1216,SEUS,-81.4715222,29.2839858,NARR_ED2_site_1-799,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-799,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000804,MANDIFORE-SEUS-1228,SEUS,-95.302606,30.3433563,NARR_ED2_site_1-804,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-804,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000830,MANDIFORE-SEUS-1287,SEUS,-82.5772755,29.5187027,NARR_ED2_site_1-830,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-830,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000852,MANDIFORE-SEUS-1332,SEUS,-91.966532,30.3616626,NARR_ED2_site_1-852,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-852,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000878,MANDIFORE-SEUS-1410,SEUS,-94.0483152,30.5083437,NARR_ED2_site_1-878,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-878,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000884,MANDIFORE-SEUS-1417,SEUS,-93.3178248,30.492983,NARR_ED2_site_1-884,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-884,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000889,MANDIFORE-SEUS-1430,SEUS,-91.3369098,30.426895,NARR_ED2_site_1-889,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-889,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000891,MANDIFORE-SEUS-1436,SEUS,-90.7121177,30.398626,NARR_ED2_site_1-891,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-891,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000892,MANDIFORE-SEUS-1437,SEUS,-90.6080287,30.3935695,NARR_ED2_site_1-892,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-892,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000896,MANDIFORE-SEUS-1455,SEUS,-87.6996925,30.2120588,NARR_ED2_site_1-896,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-896,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000000913,MANDIFORE-SEUS-1499,SEUS,-95.6138938,30.6149486,NARR_ED2_site_1-913,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-913,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001024,MANDIFORE-SEUS-1766,SEUS,-93.413642,30.7653447,NARR_ED2_site_1-1024,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1024,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001030,MANDIFORE-SEUS-1800,SEUS,-89.8595977,30.6249062,NARR_ED2_site_1-1030,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1030,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001069,MANDIFORE-SEUS-1872,SEUS,-82.4016289,29.9522167,NARR_ED2_site_1-1069,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1069,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001079,MANDIFORE-SEUS-1908,SEUS,-93.2011991,30.8501688,NARR_ED2_site_1-1079,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1079,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001082,MANDIFORE-SEUS-1911,SEUS,-92.8868658,30.8417766,NARR_ED2_site_1-1082,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1082,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001151,MANDIFORE-SEUS-2067,SEUS,-90.997025,30.8625284,NARR_ED2_site_1-1151,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1151,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001175,MANDIFORE-SEUS-2098,SEUS,-87.7582728,30.6683133,NARR_ED2_site_1-1175,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1175,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000001198,MANDIFORE-SEUS-2143,SEUS,-83.0927211,30.218327,NARR_ED2_site_1-1198,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-1198,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
