site,ensemble,date_start,date_end,finished,ed_error,ed_error_reason,model2netcdf_error
MANDIFORE-SEUS-5205,8,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-SEUS-5205,9,2002-06-01,2008-01-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5205,10,2002-06-01,2010-07-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5205,11,2002-06-01,2010-07-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5205,12,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-SEUS-5205,13,2002-06-01,2012-05-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-SEUS-5205,14,2002-06-01,2012-04-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5205,15,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-SEUS-5605,1,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,2,2002-06-01,2010-07-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,3,2002-06-01,2010-01-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,4,2002-06-01,2009-02-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,6,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,8,2002-06-01,2012-05-01,FALSE,FALSE,NA,TRUE
MANDIFORE-SEUS-5605,9,2002-06-01,2012-05-01,FALSE,TRUE,Program received signal SIGABRT: Process abort signal.,FALSE
MANDIFORE-SEUS-5605,10,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,11,2002-06-01,2009-05-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,12,2002-06-01,2011-12-01,FALSE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,13,2002-06-01,2012-05-01,TRUE,FALSE,NA,FALSE
MANDIFORE-SEUS-5605,14,2002-06-01,2010-11-01,FALSE,FALSE,NA,FALSE
MANDIFORE-PNW-9095,14,NA,NA,FALSE,TRUE,Failed finding the second guess for regula falsi,FALSE
MANDIFORE-SEUS-5205,1,NA,NA,FALSE,TRUE,Attempt to set a site with 0 patches. This cannot happen!,FALSE
MANDIFORE-SEUS-5205,6,NA,NA,FALSE,TRUE,"Budget check has failed, see message above!",FALSE
MANDIFORE-SEUS-5605,5,NA,NA,FALSE,TRUE,"Budget check has failed, see message above!",FALSE
MANDIFORE-SEUS-5605,7,NA,NA,FALSE,TRUE,Attempt to set a site with 0 patches. This cannot happen!,FALSE
MANDIFORE-SEUS-5605,15,NA,NA,FALSE,TRUE,"Budget check has failed, see message above!",FALSE
