ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
1,9.53469371795654,0,213.9949951171875,-3.4332275390625e-5,2.80987039191771e-10,2.530816445300843e-9,0.06263977289199829,-120.9940402,44.109846,31,Temperate Early Hardwood,2002-02-01
1,9.53014755249023,0,213.9949951171875,0,-4.41550476182329e-08,0,0.06259322166442871,-120.9940402,44.109846,59,Temperate Early Hardwood,2002-03-01
1,9.52511787414551,0,213.9949951171875,0,-3.72415307481333e-08,0,0.06254173815250397,-120.9940402,44.109846,90,Temperate Early Hardwood,2002-04-01
1,9.52025318145752,0,213.9949951171875,0,-3.53226639049353e-08,0,0.06249196082353592,-120.9940402,44.109846,120,Temperate Early Hardwood,2002-05-01
1,9.69416236877441,0.014616814441978931,216.28689575195312,24.249258041381836,1.18877560453257e-05,1.018087368720444e-5,0.8995151519775391,-120.9940402,44.109846,151,Temperate Early Hardwood,2002-06-01
1,9.690673828125,0,216.55801391601562,0,1.96370292542269e-05,2.23828883463284e-5,0.9399924278259277,-120.9940402,44.109846,181,Temperate Early Hardwood,2002-07-01
1,9.68562126159668,0,216.55801391601562,0,1.43997340273927e-05,2.2386357159120962e-5,0.9386165738105774,-120.9940402,44.109846,212,Temperate Early Hardwood,2002-08-01
1,9.68057060241699,0,216.55801391601562,0,1.62674241437344e-05,1.9502944269333966e-5,0.9371986389160156,-120.9940402,44.109846,243,Temperate Early Hardwood,2002-09-01
1,9.67568588256836,0,216.55801391601562,0,1.26172544696601e-05,1.0383735570940189e-5,0.935828447341919,-120.9940402,44.109846,273,Temperate Early Hardwood,2002-10-01
1,9.611741065979,0,216.55801391601562,0,2.96461257676128e-06,1.0659124427547795e-6,0.934414803981781,-120.9940402,44.109846,304,Temperate Early Hardwood,2002-11-01
1,0.00304282060824335,2.0459723054210704e-13,6.07961368560791,2.86102294921875e-6,4.94187757382747e-09,9.701781777948781e-8,0.13853204250335693,-120.9940402,44.109846,0,Setaria WT,2003-01-01
1,0.00189990876242518,1.5379613815119653e-13,5.772921562194824,0,1.9155814712235e-09,8.244477811558681e-8,0.0946313887834549,-120.9940402,44.109846,31,Setaria WT,2003-02-01
1,0.0013969256542623,1.8004632073437277e-12,5.958589553833008,0,3.14943520152156e-08,1.8781098276576813e-7,0.06568320840597153,-120.9940402,44.109846,59,Setaria WT,2003-03-01
1,0.00137204769998789,4.269571350114243e-13,6.519713401794434,-1.430511474609375e-6,7.38589349680296e-08,2.108033356762462e-7,0.056271810084581375,-120.9940402,44.109846,90,Setaria WT,2003-04-01
1,0.00140118796844035,0.005414106417447329,6.819714069366455,0,2.33211011391177e-07,5.418857540462341e-7,0.052600469440221786,-120.9940402,44.109846,120,Setaria WT,2003-05-01
1,0.00155121611896902,0.010149587877094746,10.229571342468262,0,4.88868067805015e-07,1.0104890861839522e-6,0.05823251232504845,-120.9940402,44.109846,151,Setaria WT,2003-06-01
1,0.00154973194003105,0.011685868725180626,10.229571342468262,0,5.8226044075127e-07,1.5117624343474745e-6,0.05817679315805435,-120.9940402,44.109846,181,Setaria WT,2003-07-01
1,0.00154808862134814,0.010270624421536922,10.229571342468262,0,5.77880996388558e-07,1.103845534089487e-6,0.05811510607600212,-120.9940402,44.109846,212,Setaria WT,2003-08-01
1,0.00149832444731146,0.004736528266221285,10.229571342468262,0,3.09373149320891e-07,5.239528491074452e-7,0.056246962398290634,-120.9940402,44.109846,243,Setaria WT,2003-09-01
1,0.00132638763170689,7.290280773304403e-4,10.188861846923828,7.152557373046875e-6,8.29851884986965e-08,1.6972475691545696e-7,0.050252996385097504,-120.9940402,44.109846,273,Setaria WT,2003-10-01
1,0.000976152310613543,2.491599320527532e-13,9.7346954345703125,0,4.67921701385876e-09,5.269591696333009e-8,0.03964835777878761,-120.9940402,44.109846,304,Setaria WT,2003-11-01
1,9.59687614440918,0,216.55801391601562,0,-5.49852963160902e-08,0,0.9302324652671814,-120.9940402,44.109846,0,Temperate Early Hardwood,2003-01-01
1,9.59235763549805,0,216.55801391601562,0,-4.44409984368122e-08,0,0.9289634227752686,-120.9940402,44.109846,31,Temperate Early Hardwood,2003-02-01
1,9.58742427825928,0,216.96469116210938,0,-3.87274532442916e-08,0,1.2275605201721191,-120.9940402,44.109846,59,Temperate Early Hardwood,2003-03-01
1,9.58252811431885,0,216.96469116210938,0,-3.85326011098641e-08,5.101544742203146e-10,1.2257459163665771,-120.9940402,44.109846,90,Temperate Early Hardwood,2003-04-01
1,10.0435237884521,0.04295983165502548,225.16650390625,93.54151153564453,5.30883835381246e-06,5.436117589852074e-6,4.077693462371826,-120.9940402,44.109846,120,Temperate Early Hardwood,2003-05-01
1,10.0437040328979,0,226.39788818359375,0,2.0778332327609e-05,2.526203024899587e-5,4.231828212738037,-120.9940402,44.109846,151,Temperate Early Hardwood,2003-06-01
1,10.0384654998779,0,226.39788818359375,0,1.35799391500768e-05,2.496158231224399e-5,4.225372314453125,-120.9940402,44.109846,181,Temperate Early Hardwood,2003-07-01
1,10.0332307815552,0,226.39788818359375,0,1.34834117488936e-05,2.1185860532568768e-5,4.218757152557373,-120.9940402,44.109846,212,Temperate Early Hardwood,2003-08-01
1,10.0281667709351,0,226.39788818359375,0,1.16173478090786e-05,1.0944735549855977e-5,4.212365627288818,-120.9940402,44.109846,243,Temperate Early Hardwood,2003-09-01
1,9.95898246765137,0,226.2044219970703,0,6.52551307211979e-06,3.6835849641647656e-6,4.200819969177246,-120.9940402,44.109846,273,Temperate Early Hardwood,2003-10-01
1,9.95395755767822,0,226.2044219970703,0,-1.83658144692345e-07,0,4.194455146789551,-120.9940402,44.109846,304,Temperate Early Hardwood,2003-11-01
2,0.00753954565152526,1.6075996870507092e-13,1.441197395324707,0,5.24138843438493e-10,1.42929820867721e-7,1.2529377937316895,-120.9940402,44.109846,31,Setaria WT,2002-02-01
2,0.00572323799133301,0,1.5665242671966553,0,2.09267536632751e-09,2.9570924198196735e-7,0.8239745497703552,-120.9940402,44.109846,59,Setaria WT,2002-03-01
2,0.012950393371284,8.509331017592103e-10,2.783071517944336,0,1.9053038258221e-08,1.0553912943578325e-6,0.6882810592651367,-120.9940402,44.109846,90,Setaria WT,2002-04-01
2,0.0165110845118761,0.04834090545773506,3.4098570346832275,0,7.54060067720275e-08,3.541286332620075e-6,0.6198246479034424,-120.9940402,44.109846,120,Setaria WT,2002-05-01
2,0.0182818528264761,0.06675130128860474,6.819714069366455,0,1.64502452548732e-07,4.9353952817909885e-6,0.6862990856170654,-120.9940402,44.109846,151,Setaria WT,2002-06-01
2,0.0218243561685085,0.07401309162378311,7.870060920715332,0,2.3376870217362e-07,6.757535629731137e-6,2.7508957386016846,-120.9940402,44.109846,181,Setaria WT,2002-07-01
2,0.0441444180905819,0.06173477694392204,10.904921531677246,2.1457672119140625e-6,2.37063744634725e-07,7.545776497863699e-6,4.439363479614258,-120.9940402,44.109846,212,Setaria WT,2002-08-01
2,0.0606646053493023,0.08136199414730072,14.218564987182617,0,2.28051646899985e-07,7.604133315908257e-6,4.08553409576416,-120.9940402,44.109846,243,Setaria WT,2002-09-01
2,0.0495050735771656,0.009815068915486336,14.429004669189453,0,5.39827631484968e-08,1.5621305919921724e-6,3.2085676193237305,-120.9940402,44.109846,273,Setaria WT,2002-10-01
2,0.0353333279490471,8.997015236772085e-14,13.671958923339844,-7.152557373046875e-7,1.47297454233808e-08,6.359821895784989e-7,2.531496524810791,-120.9940402,44.109846,304,Setaria WT,2002-11-01
2,9.53469371795654,0,213.9949951171875,-3.4332275390625e-5,3.68646873027956e-08,2.6532418484492837e-9,0.06263977289199829,-120.9940402,44.109846,31,Temperate Early Hardwood,2002-02-01
