date,tmp,prate
2000-04-01T03:00:00Z,8.3937927246094,-0.0854840771353338
2000-04-01T06:00:00Z,11.7109619140625,-0.35168027097825
2000-04-01T09:00:00Z,12.8510375976563,-0.129814774481929
2000-04-01T12:00:00Z,7.57793579101565,0
2000-04-01T15:00:00Z,6.23195800781252,0
2000-04-01T18:00:00Z,5.0191589355469,-0.212831811950309
2000-04-01T21:00:00Z,4.52358398437502,-0.0632910878266557
2000-04-02T00:00:00Z,6.27395019531252,0
2000-04-02T03:00:00Z,13.1177001953125,0
2000-04-02T06:00:00Z,16.9489379882813,-0.00584365047870961
2000-04-02T09:00:00Z,16.2338806152344,-0.356994463072624
2000-04-02T12:00:00Z,11.3402954101563,0
2000-04-02T15:00:00Z,8.14754638671877,0
2000-04-02T18:00:00Z,6.17293701171877,0
2000-04-02T21:00:00Z,5.11428222656252,0
2000-04-03T00:00:00Z,6.30642089843752,0
2000-04-03T03:00:00Z,11.8317504882813,0
2000-04-03T06:00:00Z,15.6727844238281,0
2000-04-03T09:00:00Z,15.6369873046875,0
2000-04-03T12:00:00Z,10.7916198730469,-0.244575343094766
2000-04-03T15:00:00Z,8.33992919921877,0
2000-04-03T18:00:00Z,7.11959228515627,-0.177240240736865
2000-04-03T21:00:00Z,5.64620361328127,-0.304978343046969
2000-04-04T00:00:00Z,8.66384277343752,-0.204128233599477
2000-04-04T03:00:00Z,14.9583984375,0
2000-04-04T06:00:00Z,20.2990661621094,0
2000-04-04T09:00:00Z,20.55458984375,0
2000-04-04T12:00:00Z,14.3876586914063,0
2000-04-04T15:00:00Z,11.3206115722656,0
2000-04-04T18:00:00Z,9.22280273437502,0
2000-04-04T21:00:00Z,7.09810791015627,0.353450450347736
2000-04-05T00:00:00Z,8.54415283203127,0
2000-04-05T03:00:00Z,12.5027099609375,-0.410864980949555
2000-04-05T06:00:00Z,14.3807006835938,-0.300236255134223
2000-04-05T09:00:00Z,11.5205932617188,-0.051898873243772
2000-04-05T12:00:00Z,7.10598144531252,0.159902057930594
2000-04-05T15:00:00Z,3.38759765625002,-0.152614929538686
2000-04-05T18:00:00Z,2.78072509765627,-0.259242246102076
2000-04-05T21:00:00Z,1.32167968750002,0
2000-04-06T00:00:00Z,1.38491210937502,0
2000-04-06T03:00:00Z,6.46328125000002,-0.223517225822434
2000-04-06T06:00:00Z,10.1511474609375,0
2000-04-06T09:00:00Z,10.0505920410156,0.164633419626625
2000-04-06T12:00:00Z,5.2753845214844,0.135600428984617
2000-04-06T15:00:00Z,2.87261352539065,-0.0303674886708905
2000-04-06T18:00:00Z,3.21138916015627,-0.179763612686656
2000-04-06T21:00:00Z,2.61177978515627,-0.162067820565426
2000-04-07T00:00:00Z,2.69527587890627,-0.325993555452442
2000-04-07T03:00:00Z,4.15157470703127,0.158524780272273
2000-04-07T06:00:00Z,5.72988281250002,-0.0301624136227474
2000-04-07T09:00:00Z,5.98366699218752,-0.479794635612052
2000-04-07T12:00:00Z,3.62246093750002,0.290483432763722
2000-04-07T15:00:00Z,0.489465332031273,0.748121947981417
2000-04-07T18:00:00Z,1.33907470703127,-0.074321582360426
2000-04-07T21:00:00Z,-0.402166748046852,-0.22977361586527
2000-04-08T00:00:00Z,2.22072753906252,0.667779598734342
2000-04-08T03:00:00Z,7.73610839843752,0
2000-04-08T06:00:00Z,12.8813720703125,0
2000-04-08T09:00:00Z,14.21181640625,0
2000-04-08T12:00:00Z,8.26113281250002,0.426226887793746
2000-04-08T15:00:00Z,5.9439636230469,0
2000-04-08T18:00:00Z,3.27968750000002,-0.0514799614393269
2000-04-08T21:00:00Z,2.08626708984377,-0.174175509164343
2000-04-09T00:00:00Z,6.04036865234377,-0.00315843433327245
2000-04-09T03:00:00Z,11.5635009765625,5.18399986904114
2000-04-09T06:00:00Z,15.4767700195313,1.72799995634705
2000-04-09T09:00:00Z,14.667138671875,2.59199993452057
2000-04-09T12:00:00Z,9.79647216796877,0
2000-04-09T15:00:00Z,8.91744384765627,0.190554265282117
2000-04-09T18:00:00Z,6.98259887695315,0.49583414074732
2000-04-09T21:00:00Z,5.87514648437502,-0.39638792804908
2000-04-10T00:00:00Z,5.66860351562502,-0.341848573589232
2000-04-10T03:00:00Z,9.22921142578127,0
2000-04-10T06:00:00Z,12.8932739257813,0
2000-04-10T09:00:00Z,13.481103515625,0
2000-04-10T12:00:00Z,7.67391357421877,-0.331423673196696
2000-04-10T15:00:00Z,5.21053466796877,-0.193083000340266
2000-04-10T18:00:00Z,4.64071044921877,0.120018408779288
2000-04-10T21:00:00Z,2.0618835449219,0.343318733212072
2000-04-11T00:00:00Z,4.02114257812502,-0.411314696248155
2000-04-11T03:00:00Z,10.4237915039063,-0.245311817707261
2000-04-11T06:00:00Z,15.5140014648438,0.241700422338909
2000-04-11T09:00:00Z,16.5745483398438,-0.200785563356476
2000-04-11T12:00:00Z,11.50283203125,0.38767757214373
2000-04-11T15:00:00Z,8.41469726562502,0
2000-04-11T18:00:00Z,7.08110961914065,-0.104522777837701
2000-04-11T21:00:00Z,6.53176269531252,-0.222141539416043
2000-04-12T00:00:00Z,8.78524169921877,-0.344896037131548
2000-04-12T03:00:00Z,15.466455078125,0.428606300556567
2000-04-12T06:00:00Z,20.4493041992188,-0.173819461633684
2000-04-12T09:00:00Z,21.4387756347656,-0.0768191504903371
2000-04-12T12:00:00Z,15.2921997070313,-0.107730810486828
2000-04-12T15:00:00Z,12.1407104492188,0
2000-04-12T18:00:00Z,10.5541015625,-0.14684932284581
2000-04-12T21:00:00Z,9.42998657226565,0
