site,ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
MANDIFORE-PNW-4538,1,0.06596585363149643,2.3457571884932804e-8,23.506023406982422,-5.7220458984375e-6,8.039307317631028e-7,1.7260756067116745e-5,3.246663808822632,-124.3494289,42.1973447,151,1,2002-06-01
MANDIFORE-PNW-4538,1,0.0875164344906807,0.4897388517856598,31.624826431274414,0,1.908704916786519e-6,4.1492501622997224e-5,5.616608619689941,-124.3494289,42.1973447,181,1,2002-07-01
MANDIFORE-PNW-4538,1,0.09763206541538239,0.49881479144096375,33.99515151977539,-1.0728836059570312e-06,1.5514010556216817e-6,4.514763713814318e-5,7.985996723175049,-124.3494289,42.1973447,212,1,2002-08-01
MANDIFORE-PNW-4538,1,0.10349710285663605,0.3115411698818207,35.81159591674805,-1.0728836059570312e-06,1.1918480140593601e-6,2.9485920094884932e-5,9.453900337219238,-124.3494289,42.1973447,243,1,2002-09-01
MANDIFORE-PNW-4538,1,0.08881661295890808,0.0627136155962944,35.12736892700195,1.430511474609375e-6,3.8891877807145647e-7,8.474995411233976e-6,8.455008506774902,-124.3494289,42.1973447,273,1,2002-10-01
MANDIFORE-PNW-4538,1,0.062428493052721024,6.85319446347421e-6,31.69396209716797,-8.940696716308594e-7,1.0434342812004616e-7,9.345623652734503e-7,7.002124786376953,-124.3494289,42.1973447,304,1,2002-11-01
MANDIFORE-PNW-4538,1,0.03166493773460388,0,25.25028419494629,5.0961971282958984e-6,3.999155495648665e-8,3.337042073781049e-7,5.309823036193848,-124.3494289,42.1973447,151,10,2002-06-01
MANDIFORE-PNW-4538,1,1.1014903783798218,0,44.958003997802734,2.86102294921875e-5,6.264254807319958e-6,1.9010964024346322e-5,0.04927893728017807,-124.3494289,42.1973447,181,10,2002-07-01
MANDIFORE-PNW-4538,1,1.1010886430740356,0,44.958003997802734,0,5.342046279110946e-6,2.2778975107939914e-5,0.04925081133842468,-124.3494289,42.1973447,212,10,2002-08-01
MANDIFORE-PNW-4538,1,1.1006872653961182,0,44.958003997802734,0,4.225968950777315e-6,2.1759115043096244e-5,0.049222707748413086,-124.3494289,42.1973447,243,10,2002-09-01
MANDIFORE-PNW-4538,1,1.1002988815307617,0,44.958003997802734,0,3.0640189834230114e-6,1.3369269254326355e-5,0.049195535480976105,-124.3494289,42.1973447,273,10,2002-10-01
MANDIFORE-PNW-4538,1,1.0998977422714233,0,44.958003997802734,0,1.6299063645419665e-6,4.510892267717281e-6,0.049167484045028687,-124.3494289,42.1973447,304,10,2002-11-01
MANDIFORE-PNW-4538,1,0.02007250487804413,1.6370898777220977e-12,22.78035545349121,-1.9669532775878906e-6,5.080366705101369e-8,2.196563713141586e-7,4.0819091796875,-124.3494289,42.1973447,0,1,2003-01-01
MANDIFORE-PNW-4538,1,0.011239060200750828,5.700304052565219e-13,19.571895599365234,2.592802047729492e-6,2.859541048394476e-8,1.7583450073743734e-7,2.956026792526245,-124.3494289,42.1973447,31,1,2003-02-01
MANDIFORE-PNW-4538,1,0.020317144691944122,4.7753387480042875e-4,31.297977447509766,5.453824996948242e-6,2.747589746832091e-7,8.151966426339641e-7,2.2764999866485596,-124.3494289,42.1973447,59,1,2003-03-01
MANDIFORE-PNW-4538,1,0.022442897781729698,0.008668920956552029,34.670169830322266,-8.270144462585449e-7,3.765538849620498e-7,7.578951795039757e-7,1.959293246269226,-124.3494289,42.1973447,90,1,2003-04-01
MANDIFORE-PNW-4538,1,0.027004437521100044,0.1258634775876999,39.28849411010742,2.123415470123291e-6,1.6159833648998756e-6,6.67988570057787e-6,1.8336220979690552,-124.3494289,42.1973447,120,1,2003-05-01
MANDIFORE-PNW-4538,1,0.04003523290157318,0.2708036005496979,64.69925689697266,-8.549541234970093e-6,3.930130787921371e-6,2.012620825553313e-5,3.215080976486206,-124.3494289,42.1973447,151,1,2003-06-01
MANDIFORE-PNW-4538,1,0.062056344002485275,0.42298659682273865,77.63140106201172,-2.8442591428756714e-6,5.616480393655365e-6,3.430161814321764e-5,5.2207207679748535,-124.3494289,42.1973447,181,1,2003-07-01
MANDIFORE-PNW-4538,1,0.08405744284391403,0.4757192134857178,84.65766906738281,5.587935447692871e-9,5.642129053740064e-6,3.635175744420849e-5,7.485645771026611,-124.3494289,42.1973447,212,1,2003-08-01
MANDIFORE-PNW-4538,1,0.09835705161094666,0.3756258487701416,88.88277435302734,7.404014468193054e-7,4.228979832987534e-6,3.098671368206851e-5,9.225292205810547,-124.3494289,42.1973447,243,1,2003-09-01
MANDIFORE-PNW-4538,1,0.09440875053405762,0.09854497015476227,89.30992889404297,-1.0868534445762634e-6,1.499241648161842e-6,7.258465302584227e-6,8.775472640991211,-124.3494289,42.1973447,273,1,2003-10-01
MANDIFORE-PNW-4538,1,0.057634137570858,1.8695345293563703e-13,75.65669250488281,-1.5741214156150818e-5,1.639199496139554e-7,5.932354270044016e-7,7.624157428741455,-124.3494289,42.1973447,304,1,2003-11-01
MANDIFORE-PNW-4538,1,0.029676364734768867,4.1387818736429716e-13,61.52745056152344,3.933906555175781e-6,1.0526790816811626e-7,3.1076373829819204e-7,5.76816987991333,-124.3494289,42.1973447,0,10,2003-01-01
MANDIFORE-PNW-4538,1,1.061761736869812,0,44.958003997802734,0,-2.098205875711301e-8,0,0.0490843839943409,-124.3494289,42.1973447,31,10,2003-02-01
MANDIFORE-PNW-4538,1,1.0614140033721924,0,44.958003997802734,0,-9.256594601936285e-9,0,0.04905913770198822,-124.3494289,42.1973447,59,10,2003-03-01
MANDIFORE-PNW-4538,1,1.061957836151123,0,45.60059356689453,0,-4.467827885434872e-9,0,0.4490312337875366,-124.3494289,42.1973447,90,10,2003-04-01
MANDIFORE-PNW-4538,1,1.061584234237671,0,45.60059356689453,-7.152557373046875e-7,4.4717443081765396e-9,6.268995633718077e-8,0.44846880435943604,-124.3494289,42.1973447,120,10,2003-05-01
MANDIFORE-PNW-4538,1,1.3578184843063354,0,51.166160583496094,66.786834716796875,2.62083585766959e-6,6.990574547671713e-6,0.44788840413093567,-124.3494289,42.1973447,151,10,2003-06-01
